Year,Month,Day,Hour,v_10m_ms,v_100m_ms,Power_MW,CF_wind
2020,2,3,12,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,3,13,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,2,3,14,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,2,3,15,2.2335101489502893,3.3035333187704743,0.00532190309425264,0.00532190309425264
2020,2,3,16,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,2,3,17,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,2,3,18,3.2643609869273456,4.828333516611536,0.050300996803972174,0.050300996803972174
2020,2,3,19,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,2,3,20,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,2,3,21,3.95159487891205,5.844752442856914,0.10150696916774445,0.10150696916774445
2020,2,3,22,4.638828770896755,6.861343177575288,0.17402617362116546,0.17402617362116546
2020,2,3,23,5.326062662881459,7.877762103820667,0.2715385702061124,0.2715385702061124
2020,2,4,0,6.18510502786234,9.148457570100385,0.43425839626133994,0.43425839626133994
2020,2,4,1,7.215955865839397,10.673257767941447,0.6989305012628659,0.6989305012628659
2020,2,4,2,7.731381284827925,11.435571962625481,0.8632898984518977,0.8632898984518977
2020,2,4,3,7.731381284827925,11.435571962625481,0.8632898984518977,0.8632898984518977
2020,2,4,4,7.559572811831749,11.181467231064136,0.8059760625532901,0.8059760625532901
2020,2,4,5,7.559572811831749,11.181467231064136,0.8059760625532901,0.8059760625532901
2020,2,4,6,7.731381284827925,11.435571962625481,0.8632898984518977,0.8632898984518977
2020,2,4,7,7.731381284827925,11.435571962625481,0.8632898984518977,0.8632898984518977
2020,2,4,8,8.246806703816452,12.197886157309515,1.0,1.0
2020,2,4,9,8.590423649808805,12.706095620432203,1.0,1.0
2020,2,4,10,8.76223212280498,12.960372160466544,1.0,1.0
2020,2,4,11,8.76223212280498,12.960372160466544,1.0,1.0
2020,2,4,12,8.590423649808805,12.706095620432203,1.0,1.0
2020,2,4,13,8.590423649808805,12.706095620432203,1.0,1.0
2020,2,4,14,8.41861517681263,12.45199088887086,1.0,1.0
2020,2,4,15,8.074998230820277,11.94378142574817,0.9857890518836563,0.9857890518836563
2020,2,4,16,7.559572811831749,11.181467231064136,0.8059760625532901,0.8059760625532901
